household_id,region_id,size,total_income
1,5,5,177282.6875362411
2,2,1,12002.233298649788
3,6,3,46592.87577804599
4,1,4,4391.60974175658
5,8,1,25375.540266431395
6,4,3,19083.532031065988
7,1,2,3143.051874141693
8,10,2,40779.11401154801
9,10,5,17325.797037442364
10,9,1,30570.53029254557
11,9,2,7459.956326996257
12,5,2,49539.89425361578
13,10,2,29444.58528632384
14,10,2,6855.376651251545
15,5,3,28018.16057267406
16,1,4,8012.5201405020425
17,9,2,68378.55743946845
18,9,2,48956.998627978675
19,7,1,82734.73562895937
20,3,2,29154.955090986266
21,5,1,14873.90010472303
22,7,2,49076.60902388955
23,10,3,13245.310618867776
24,4,2,10396.771244201087
25,1,3,5603.070396154514
26,5,2,41722.46152733892
27,5,3,3372.108406887777
28,6,3,22902.149536125988
29,2,3,30406.929612293032
30,9,1,306352.9523585308
31,6,2,45046.07103204102
32,1,2,25290.225875592885
33,2,4,34451.95019249755
34,3,3,28144.75509650949
35,9,3,10343.688104819936
36,4,1,35303.61459108529
37,7,5,50652.27318250135
38,7,1,7191.215024179567
39,4,3,40815.05797501755
40,6,1,15873.502388696279
41,5,2,12880.489983780444
42,2,1,12518.206726375605
43,10,2,82113.58456936953
44,3,1,23904.17193212256
45,6,3,32456.934575526593
46,9,3,34030.82538243419
47,9,3,8963.730523444185
48,2,1,58539.38002275068
49,1,5,35723.62031586784
50,8,2,146563.78352218404
51,9,4,5116.754558593536
52,4,2,25054.169276945875
53,2,2,33119.821240462756
54,10,3,14130.585705577363
55,6,1,21287.656836245747
56,8,2,39023.48702480281
57,2,1,28105.0101962829
58,10,2,20355.39899493289
59,2,1,28920.459787567495
60,9,3,14155.416702074812
61,10,1,6451.148186209997
62,5,5,41949.08170137323
63,6,5,15763.853582012878
64,5,2,13832.632587618218
65,7,1,22478.97342804147
66,10,4,7486.49650375766
67,5,2,69463.31070221748
68,3,2,13432.986202608125
69,6,3,21909.318440911364
70,8,2,36490.35841525209
71,8,1,8205.913858123953
72,6,3,14532.153295824444
73,2,2,143979.93606071526
74,10,4,89696.66236388998
75,7,2,72478.59925152868
76,3,2,108542.25433854852
77,9,2,6226.606897884852
78,6,2,49588.7345407257
79,3,3,5415.991849362497
80,9,2,17449.914008751337
81,8,4,117937.6509887811
82,10,1,11943.286933415222
83,1,2,150949.1852877786
84,10,2,63456.26952298204
85,9,5,14507.751177478787
86,9,2,69357.93700217335
87,9,2,26282.8790777922
88,9,3,13369.998764180127
89,4,2,8038.166012630814
90,10,2,99756.22882945243
91,6,3,50538.8939465717
92,10,2,19189.148113683343
93,2,1,7721.551664298975
94,1,3,10515.244025325605
95,3,3,46429.35110110949
96,10,4,11370.75011568638
97,3,2,4768.168275078656
98,10,3,40362.80618821543
99,7,3,57895.596057740506
100,8,4,14852.66882789773
101,5,1,51577.03738825092
102,8,1,19452.298684361762
103,3,2,8333.274257990786
104,1,3,105282.64519451205
105,3,4,9801.049691225007
106,5,3,79688.89879115149
107,8,3,24639.428267830655
108,10,2,56152.260906768104
109,1,2,12713.144440204078
110,1,4,5202.944342837805
111,7,5,51140.23764188215
112,9,2,19894.442908491805
113,6,4,15983.00663686962
114,1,4,25403.071689444903
115,10,3,9408.288973699131
116,3,2,6312.429335837929
117,6,4,17531.56764854054
118,2,2,64024.582552486536
119,2,2,28723.787220801918
120,10,2,27246.23316678559
121,10,3,22488.325737048097
122,5,5,6151.161238729748
123,8,2,38488.77145954452
124,6,2,37671.61475859175
125,1,4,5285.2811183916965
126,5,1,79508.99240678958
127,3,1,17491.494402202596
128,7,2,5452.546607340801
129,1,2,87857.45016211236
130,10,1,11371.882817616372
131,3,2,22445.075188268507
132,5,2,57869.118852470114
133,6,3,32321.595155211988
134,2,1,11621.693726742638
