quest_id,name,region_id,min_level,difficulty,reward_gold,reward_xp,required_participants
1,Exclusive tertiary knowledge user,7,113,Hard,433.8944155333235,86.7846080235175,1
2,Decentralized content-based structure,2,116,Medium,35.613917427916974,478.70014628225147,1
3,Down-sized global definition,7,10,Hard,217.61063430172516,975.3407610992682,10
4,Automated zero-defect support,9,62,Elite,32.34456746733171,192.88753654786333,3
5,Multi-lateral logistical initiative,6,53,Medium,113.13205143182833,221.70973615539407,1
6,Synergized coherent analyzer,1,64,Easy,121.12570989139935,162.78285866581788,3
7,Adaptive disintermediate adapter,8,70,Medium,114.96766217433387,340.6903743407469,1
8,Monitored upward-trending concept,8,6,Elite,64.11568955610845,245.80337220139626,1
9,Quality-focused next generation benchmark,5,94,Easy,64.10904385545535,1378.0109226167822,1
10,Synchronized stable functionalities,5,26,Medium,99.11475495250392,2473.9868546821335,1
11,Balanced real-time challenge,1,49,Elite,45.03817949017563,563.7909196163197,3
12,Progressive reciprocal conglomeration,8,6,Easy,38.456989422928174,1512.164787155851,1
13,Realigned composite hub,3,102,Easy,296.8569249303171,335.75669010182503,1
14,Polarized transitional implementation,10,97,Medium,121.50345354199591,752.1739752240325,1
15,Triple-buffered intangible neural-net,4,107,Medium,48.67745242763056,749.4014957794313,1
16,Horizontal transitional open system,6,41,Medium,245.98116745227426,127.26656724453696,1
17,Expanded explicit archive,2,7,Easy,62.063072205027105,70.86118838172072,1
18,Digitized content-based parallelism,5,26,Hard,32.70145883638925,305.1044802348193,1
19,Multi-channeled optimizing support,3,71,Medium,38.81800334865918,659.6138123307956,5
20,Phased uniform focus group,1,49,Elite,46.11114854713493,82.74205339610619,10
21,Face-to-face non-volatile model,2,47,Medium,206.69518637625586,218.96391494196743,1
22,Organic scalable moderator,2,119,Elite,65.70156875331635,894.655295975977,1
23,Organized interactive standardization,6,61,Medium,19.512849053566793,95.88121314862127,2
24,Customizable dedicated array,4,119,Easy,63.70347462193746,1058.6917044678805,3
25,User-centric client-server structure,5,29,Medium,55.601468609491036,254.0949019554493,2
26,Re-contextualized national synergy,1,59,Hard,17.376531629805353,187.2486714797685,5
27,Optional context-sensitive software,3,117,Elite,140.57010139618933,150.6636578660532,2
28,Focused bottom-line knowledgebase,3,68,Medium,92.89114985836719,890.4872629230737,1
29,Team-oriented client-driven contingency,8,54,Hard,56.88887090179466,383.35883100079604,1
30,Triple-buffered content-based hardware,4,54,Medium,184.10977025137976,1866.357579818384,1
31,Synergized full-range software,5,115,Elite,12.962830497050426,296.4985928498362,1
32,Horizontal solution-oriented Graphical User Interface,3,89,Medium,51.37887818046977,477.31434930765397,1
33,Multi-channeled bi-directional firmware,10,1,Hard,22.701258452548796,180.82453811020915,1
34,Quality-focused multimedia open architecture,2,79,Medium,39.151127243172766,1487.193869524669,1
35,Multi-layered object-oriented archive,9,79,Hard,49.39131964842047,210.66358858144704,1
36,Decentralized real-time moratorium,8,19,Easy,119.72372464391749,93.95512875694261,10
37,Reactive incremental analyzer,10,6,Medium,45.015965856583435,375.1668530289819,1
38,Re-engineered bandwidth-monitored Graphic Interface,6,19,Easy,25.27184865871883,276.50240008872885,5
39,Cloned encompassing array,9,91,Medium,107.09386128145626,158.03258073251823,1
40,Managed disintermediate standardization,8,116,Legendary,62.12934314683155,254.10502565020786,10
41,Configurable fault-tolerant projection,4,16,Medium,7.3993987598717235,854.6089579015947,2
42,Phased client-driven secured line,4,59,Medium,97.94711680109626,998.4250573200196,25
43,Cross-platform didactic functionalities,7,3,Easy,122.51386250113624,439.51367007851417,1
44,Visionary asymmetric circuit,1,62,Easy,63.633989647429736,567.8561326251693,1
45,Multi-layered responsive alliance,1,114,Elite,393.06666541684535,1298.4184528851977,1
46,Synergistic logistical support,3,88,Easy,89.52893812849062,111.78280733906432,5
47,De-engineered national monitoring,10,116,Easy,194.9265659752042,233.52349596389504,1
48,Centralized homogeneous open system,9,20,Hard,34.680995047489716,470.65341910951287,3
49,Ameliorated human-resource system engine,2,45,Hard,35.82724184835355,1895.0252631277883,5
50,Networked 5thgeneration matrix,8,48,Elite,176.2853560584581,200.30048936678494,1
51,Balanced intermediate hub,2,101,Medium,121.74634896433014,781.1993037754223,5
52,Optimized zero administration encryption,9,35,Easy,33.18509122903589,324.17400402034156,1
53,Configurable asymmetric instruction set,8,24,Elite,219.49541533148954,1737.1360600493904,2
54,Customizable well-modulated Graphical User Interface,3,77,Hard,55.10080598886471,566.7751082134839,1
55,Distributed mission-critical matrix,6,13,Medium,131.31396290746025,438.898726088894,1
56,Cross-platform grid-enabled structure,2,74,Easy,113.02774615916539,427.14445505238456,5
57,Inverse background customer loyalty,8,32,Elite,166.0948606850437,527.2660657404982,1
58,Ameliorated reciprocal help-desk,6,69,Easy,24.286445871078325,319.0844903110036,1
59,Mandatory impactful toolset,3,64,Medium,20.972023595035875,96.85957564011169,2
60,Face-to-face 24hour help-desk,6,108,Easy,19.18064461358405,2616.4067185041945,5
61,Object-based leadingedge strategy,2,74,Medium,84.33580407172101,395.5945160664134,2
62,Robust high-level protocol,4,28,Medium,28.451271442957655,134.60072763857062,1
63,Triple-buffered leadingedge budgetary management,3,13,Elite,45.1515190584293,431.2013407267624,10
64,Synchronized 24hour complexity,6,45,Hard,297.682239882181,186.9389049287958,10
65,Adaptive demand-driven benchmark,1,101,Easy,123.37891675570391,67.60347054131752,1
66,Pre-emptive multi-tasking algorithm,8,54,Elite,22.346306079262934,97.43978254392708,2
67,Multi-layered regional focus group,1,109,Medium,14.782431044129737,161.21185723833602,1
68,Open-architected methodical adapter,2,114,Hard,124.45852299088585,207.8456886009998,1
69,Profit-focused cohesive application,3,116,Medium,61.03109214402989,70.4804255096308,1
70,Networked mobile neural-net,6,114,Elite,25.96256336656997,240.87718063644456,25
71,Open-architected context-sensitive toolset,1,92,Medium,85.92844880897293,3715.436228438522,2
72,Mandatory upward-trending attitude,1,92,Elite,83.815321791006,335.6942659038122,5
73,Down-sized attitude-oriented budgetary management,4,117,Easy,126.55396172826404,3712.47850880568,3
74,Adaptive asynchronous collaboration,8,74,Easy,230.39526721753683,577.2587359607736,1
75,Total 3rdgeneration parallelism,7,35,Easy,79.63216171474177,247.7148406211394,1
76,Advanced executive hardware,4,119,Easy,188.1248613912256,463.23683245356915,3
77,Up-sized high-level throughput,8,64,Elite,343.19560361567,119.3765222489633,25
78,Right-sized incremental utilization,4,108,Medium,43.67969987017598,45.75569230821886,5
79,Synergistic national frame,7,118,Easy,120.32822266136027,192.48619165232955,5
80,Customizable needs-based forecast,7,93,Hard,47.55865398154077,4391.044001564391,1
81,Synergistic secondary project,9,16,Elite,82.65898850868959,115.5098126513387,10
82,Enhanced 24/7 synergy,5,24,Medium,27.79294194126703,283.31232898782673,2
83,Intuitive 24/7 superstructure,4,115,Hard,60.04924028147222,766.3442880793608,2
84,Proactive reciprocal hub,1,74,Medium,17.268779321406182,54.53392316426825,2
85,Secured zero tolerance forecast,8,91,Easy,88.11431239983295,265.90405602820056,1
86,Implemented systemic matrices,5,17,Legendary,19.226649675368602,298.72513155703797,1
87,Assimilated analyzing system engine,9,18,Legendary,8.54172636389788,188.08541866658547,1
88,Ergonomic bifurcated protocol,8,94,Easy,35.33190450925392,330.71601587203565,3
89,Open-source static alliance,7,67,Easy,20.416371116292932,745.4744935740459,2
90,Decentralized bifurcated archive,7,20,Hard,7.135098370550317,413.6949473709921,10
91,Organized heuristic open system,8,48,Easy,3.666597336365982,46.55353601841716,1
92,Digitized disintermediate challenge,6,19,Easy,122.3752328585503,143.15195928102546,2
93,Universal neutral analyzer,5,104,Easy,77.6687798820945,724.0953796610444,10
